scenario_id,scenario_type,seed,minute,data_classification,lel_ratio,h2s_ratio,co_ratio,oxygen_deficit_ratio,pressure_ratio,lel_slope,h2s_slope,co_slope,oxygen_slope,pressure_slope,gas_burden,max_sensor_ratio,mean_positive_slope,correlated_rise,ventilation_impaired,hot_work_active,confined_space_active,workers_in_zone,min_worker_distance_m,shift_handover,permit_overlap_count,isolation_active,stream_quality,hotwork_gas_interaction,worker_gas_interaction,confined_oxygen_interaction,barrier_gas_interaction,handover_permit_interaction,single_sensor_alarm,latent_risk,harmful_state,risk_within_horizon,event_minute
normal_shift-1000,normal_shift,1000,0,SIMULATED,0.11225790,0.14028113,0.21801076,0.07787889,0.54622566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18403401,0.54622566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01203100,0,0,-1
normal_shift-1000,normal_shift,1000,1,SIMULATED,0.10757344,0.13011080,0.22922717,0.08840723,0.55031895,-0.00234223,-0.00508517,0.00560820,0.00526417,0.00204664,0.18449220,0.55031895,0.00258380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98846120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00638400,0,0,-1
normal_shift-1000,normal_shift,1000,2,SIMULATED,0.11728142,0.13762825,0.21773910,0.10264964,0.55324861,0.00167451,-0.00088429,-0.00009056,0.00825692,0.00234098,0.18981509,0.55324861,0.00245448,0.00049090,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99247819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.02706300,0,0,-1
normal_shift-1000,normal_shift,1000,3,SIMULATED,0.11246371,0.13786763,0.22046413,0.08879528,0.56252028,0.00006860,-0.00080450,0.00081779,0.00363880,0.00543154,0.18771249,0.56252028,0.00199135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98984750,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00600500,0,0,-1
normal_shift-1000,normal_shift,1000,4,SIMULATED,0.10140421,0.12731811,0.20868893,0.09632380,0.55698048,-0.00205641,-0.00093090,-0.00684608,0.00263886,0.00222051,0.18027280,0.55698048,0.00097187,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98878952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.02204600,0,0,-1
normal_shift-1000,normal_shift,1000,5,SIMULATED,0.12017403,0.12327927,0.20260199,0.07011242,0.54868413,0.00096420,-0.00478300,-0.00504570,-0.01084574,-0.00152149,0.17910557,0.54868413,0.00019284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99203373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00158100,0,0,-1
normal_shift-1000,normal_shift,1000,6,SIMULATED,0.11383087,0.13928166,0.20562382,0.05922810,0.54855265,0.00045572,0.00047134,-0.00494677,-0.00985572,-0.00465588,0.17938295,0.54855265,0.00018541,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98532359,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00698000,0,0,-1
normal_shift-1000,normal_shift,1000,7,SIMULATED,0.10977150,0.14830205,0.19190392,0.06691271,0.55462779,0.00278910,0.00699465,-0.00559500,-0.00980370,-0.00078423,0.17955741,0.55462779,0.00195675,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98142519,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00016000,0,0,-1
normal_shift-1000,normal_shift,1000,8,SIMULATED,0.10279180,0.14141425,0.20736097,0.08117370,0.56532976,-0.00579408,0.00604499,0.00158633,0.00368709,0.00554854,0.18215685,0.56532976,0.00337339,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98035695,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.01242200,0,0,-1
normal_shift-1000,normal_shift,1000,9,SIMULATED,0.10333739,0.13339206,0.19732012,0.07309452,0.57330547,-0.00349783,-0.00196320,-0.00276790,0.00462214,0.00825094,0.17842362,0.57330547,0.00257462,0.00051492,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99214940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00152100,0,0,-1
normal_shift-1000,normal_shift,1000,10,SIMULATED,0.11277869,0.14253077,0.20752737,0.06584474,0.57714966,0.00100239,-0.00192376,0.00520782,-0.00035599,0.00750729,0.18459399,0.57714966,0.00274350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99960581,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00168400,0,0,-1
normal_shift-1000,normal_shift,1000,11,SIMULATED,0.11129377,0.13996734,0.20437679,0.07261104,0.56719089,0.00283399,-0.00048230,-0.00099473,-0.00285422,0.00062038,0.18287532,0.56719089,0.00069087,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99621105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01064800,0,0,-1
normal_shift-1000,normal_shift,1000,12,SIMULATED,0.10740507,0.16004722,0.20543630,0.08606708,0.56922396,0.00135589,0.00888506,0.00270539,0.00432419,-0.00136050,0.18863615,0.56922396,0.00345411,0.00069082,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99462477,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.02516100,0,0,-1
normal_shift-1000,normal_shift,1000,13,SIMULATED,0.11222849,0.15426868,0.20318983,0.08349059,0.56800531,-0.00018340,0.00391263,-0.00144585,0.00588195,-0.00304812,0.18794553,0.56800531,0.00195892,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99137660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00781700,0,0,-1
normal_shift-1000,normal_shift,1000,14,SIMULATED,0.13383417,0.16470952,0.21030200,0.08431411,0.56539529,0.00751346,0.00824739,0.00197507,0.00390103,-0.00059854,0.19825508,0.56539529,0.00432739,0.00086548,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98722427,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00158500,0,0,-1
normal_shift-1000,normal_shift,1000,15,SIMULATED,0.11568922,0.17219512,0.22102581,0.06610384,0.56364207,0.00276138,0.00404930,0.00519650,-0.00665441,-0.00186063,0.19290178,0.56364207,0.00240144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98218775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.01390700,0,0,-1
normal_shift-1000,normal_shift,1000,16,SIMULATED,0.10812967,0.17412730,0.22617463,0.06868086,0.55739285,-0.00136627,0.00661954,0.00766160,-0.00493658,-0.00353749,0.19149701,0.55739285,0.00285623,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98179032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01851300,0,0,-1
normal_shift-1000,normal_shift,1000,17,SIMULATED,0.12258447,0.16933145,0.24152603,0.08339361,0.56333706,-0.00374990,0.00154064,0.01040801,-0.00030684,-0.00068608,0.20089806,0.56333706,0.00238973,0.00047795,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98050666,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.03097100,0,0,-1
normal_shift-1000,normal_shift,1000,18,SIMULATED,0.11292067,0.16493244,0.24580201,0.06881335,0.54962184,-0.00092285,-0.00242089,0.00825873,0.00090317,-0.00467341,0.19362887,0.54962184,0.00183238,0.00036648,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98449771,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01474500,0,0,-1
normal_shift-1000,normal_shift,1000,19,SIMULATED,0.10773559,0.14207042,0.23950584,0.08474366,0.53221808,-0.00013136,-0.01068563,0.00444374,0.00535427,-0.00839159,0.18626709,0.53221808,0.00195960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98807644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01995100,0,0,-1
normal_shift-1000,normal_shift,1000,20,SIMULATED,0.10960782,0.14790948,0.23553840,0.08319160,0.56141638,-0.00432555,-0.00714066,-0.00199588,-0.00006733,-0.00064022,0.19069212,0.56141638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99587140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00970900,0,0,-1
normal_shift-1000,normal_shift,1000,21,SIMULATED,0.09611499,0.16639897,0.21861517,0.08872180,0.56077620,-0.00560189,0.00048884,-0.00906228,0.00663615,0.00371812,0.18820393,0.56077620,0.00216862,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99041558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.01221600,0,0,-1
normal_shift-1000,normal_shift,1000,22,SIMULATED,0.11257845,0.15478873,0.22372907,0.09232909,0.54493010,0.00161429,0.00423944,-0.00525893,0.00252848,0.00423734,0.19051412,0.54493010,0.00252391,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98920930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00563500,0,0,-1
normal_shift-1000,normal_shift,1000,23,SIMULATED,0.11049035,0.14426204,0.23038164,0.09016699,0.55100831,0.00029418,-0.00121581,-0.00171892,0.00232513,-0.00346936,0.18911097,0.55100831,0.00052386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.99185571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.02774900,0,0,-1
normal_shift-1000,normal_shift,1000,24,SIMULATED,0.10069319,0.13647812,0.23674720,0.07976456,0.54977196,0.00152607,-0.00997362,0.00604401,-0.00298575,-0.00366808,0.18359647,0.54977196,0.00151402,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98762925,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.02306800,0,0,-1
normal_shift-1000,normal_shift,1000,25,SIMULATED,0.09240746,0.12971045,0.22440559,0.08590095,0.54590776,-0.00672366,-0.00835943,0.00022551,-0.00214271,0.00032589,0.17775278,0.54590776,0.00011028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,120.00000000,0.00000000,0.00000000,0.00000000,0.98861935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,-0.00448400,0,0,-1
